asset_id,asset_type,business_unit,business_criticality,failed_logons_24h,privileged_changes_7d,suspicious_powershell_7d,suricata_high_alerts_7d,firewall_policy_exposure,attack_path_score,vulnerability_score,control_effectiveness,residual_risk_score,evidence_integrity_score,risk_trend_30d,generated_at
LHT-Asset-001,domain_controller,finance_operations,3,32,8,1,3,81,84,76,88,40,91,10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-002,application_server,finance_operations,5,28,3,0,9,15,19,41,47,29,83,-25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-003,siem_server,network_services,3,13,6,4,5,50,53,100,44,43,76,-20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-004,linux_server,business_applications,4,9,10,4,0,52,51,64,89,27,60,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-005,workstation,business_applications,1,27,8,7,6,72,38,58,96,46,87,8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-006,windows_server,identity_services,2,3,8,1,11,84,59,65,53,57,85,31,2026-07-06T07:33:59.592310+00:00
LHT-Asset-007,siem_server,finance_operations,4,43,7,8,4,76,56,90,74,63,90,26,2026-07-06T07:33:59.592310+00:00
LHT-Asset-008,application_server,security_operations,4,27,3,4,4,6,9,24,93,36,88,34,2026-07-06T07:33:59.592310+00:00
LHT-Asset-009,linux_server,identity_services,4,29,8,7,12,60,76,89,39,63,73,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-010,workstation,business_applications,5,62,12,7,9,78,23,100,41,65,64,10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-011,application_server,business_applications,2,15,1,0,12,74,39,90,80,41,64,-25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-012,firewall,security_operations,4,44,2,8,3,65,80,21,72,44,60,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-013,application_server,identity_services,5,19,8,6,6,24,71,30,83,37,55,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-014,domain_controller,finance_operations,3,41,5,0,0,70,65,46,73,25,83,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-015,workstation,identity_services,5,39,2,2,9,71,31,60,78,45,84,13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-016,firewall,identity_services,4,2,3,2,0,87,74,11,92,22,96,-13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-017,windows_server,identity_services,5,13,8,2,2,89,28,54,69,32,82,9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-018,workstation,finance_operations,3,11,5,2,4,64,68,58,71,33,84,-14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-019,workstation,business_applications,1,33,8,4,1,32,34,5,46,32,84,16,2026-07-06T07:33:59.592310+00:00
LHT-Asset-020,application_server,business_applications,2,1,5,2,5,76,92,78,62,47,62,14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-021,application_server,finance_operations,5,13,9,4,9,39,90,76,51,60,61,25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-022,windows_server,identity_services,1,43,0,5,11,28,87,85,48,56,87,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-023,linux_server,finance_operations,3,31,11,6,5,37,84,65,67,50,40,12,2026-07-06T07:33:59.592310+00:00
LHT-Asset-024,firewall,network_services,5,45,13,10,16,53,92,87,79,100,84,63,2026-07-06T07:33:59.592310+00:00
LHT-Asset-025,linux_server,identity_services,1,19,6,5,9,7,74,48,60,42,90,-22,2026-07-06T07:33:59.592310+00:00
LHT-Asset-026,windows_server,network_services,5,7,1,0,2,71,50,81,73,28,56,2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-027,workstation,business_applications,4,24,3,6,10,33,21,28,38,51,97,20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-028,workstation,business_applications,3,69,7,8,5,67,85,96,62,66,58,15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-029,application_server,finance_operations,3,3,10,0,10,36,65,12,63,33,98,7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-030,siem_server,finance_operations,3,14,8,4,5,30,52,50,93,33,95,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-031,application_server,business_applications,5,19,3,2,10,57,24,67,35,53,77,27,2026-07-06T07:33:59.592310+00:00
LHT-Asset-032,siem_server,identity_services,4,2,10,2,1,43,52,74,68,35,63,20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-033,firewall,network_services,2,88,17,10,16,29,66,81,39,75,77,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-034,firewall,business_applications,3,22,2,6,3,85,6,82,96,36,82,-3,2026-07-06T07:33:59.592310+00:00
LHT-Asset-035,windows_server,identity_services,5,1,2,5,8,23,25,8,49,39,87,17,2026-07-06T07:33:59.592310+00:00
LHT-Asset-036,application_server,finance_operations,3,4,5,4,3,73,24,81,66,34,63,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-037,domain_controller,network_services,1,24,4,4,10,20,49,65,98,43,62,10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-038,siem_server,network_services,4,84,13,5,11,38,88,59,52,61,78,6,2026-07-06T07:33:59.592310+00:00
LHT-Asset-039,application_server,identity_services,3,26,9,6,3,24,61,100,51,43,82,-8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-040,linux_server,network_services,3,28,4,2,8,85,39,34,77,40,64,10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-041,linux_server,finance_operations,5,29,10,6,6,7,75,96,77,45,98,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-042,siem_server,network_services,5,33,3,6,5,87,47,12,86,38,66,-25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-043,windows_server,network_services,3,64,17,10,15,99,82,72,10,100,44,52,2026-07-06T07:33:59.592310+00:00
LHT-Asset-044,domain_controller,business_applications,5,44,3,8,12,6,17,24,77,60,69,35,2026-07-06T07:33:59.592310+00:00
LHT-Asset-045,siem_server,finance_operations,2,45,4,1,9,58,71,92,52,47,61,-24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-046,domain_controller,network_services,2,35,8,3,7,89,89,48,78,44,77,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-047,workstation,business_applications,3,16,0,7,2,7,66,51,67,35,84,-13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-048,application_server,security_operations,4,71,11,5,14,44,100,100,58,87,78,41,2026-07-06T07:33:59.592310+00:00
LHT-Asset-049,application_server,network_services,3,85,13,12,16,53,100,57,24,93,62,21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-050,linux_server,business_applications,4,34,9,8,3,24,82,75,54,47,64,-17,2026-07-06T07:33:59.592310+00:00
LHT-Asset-051,domain_controller,network_services,1,40,9,9,7,62,100,100,55,73,41,14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-052,windows_server,business_applications,5,43,11,3,15,85,56,64,33,68,95,22,2026-07-06T07:33:59.592310+00:00
LHT-Asset-053,windows_server,business_applications,1,74,19,11,11,58,51,52,68,75,49,25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-054,workstation,network_services,1,60,9,6,15,42,64,100,25,73,49,5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-055,workstation,network_services,1,30,8,7,4,50,67,22,48,46,64,10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-056,workstation,network_services,4,38,10,0,11,90,76,46,67,44,98,-20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-057,firewall,business_applications,5,33,1,4,4,9,15,80,40,38,59,8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-058,domain_controller,identity_services,4,86,13,10,20,84,84,18,42,84,51,9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-059,siem_server,business_applications,3,45,2,4,7,35,46,96,94,41,99,-10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-060,application_server,finance_operations,3,26,0,7,3,81,28,61,59,47,62,12,2026-07-06T07:33:59.592310+00:00
