asset_id,asset_type,high_risk_probability,predicted_risk_tier,validation_outcome,top_risk_contributors,explainability_statement,generated_at
LHT-Asset-001,domain_controller,0.037,Low,True Negative,"[{""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 13.0, ""contribution"": -0.548661, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 84.0, ""contribution"": 0.443761, ""direction"": ""Increases predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 88.0, ""contribution"": -0.41631, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.236760+00:00
LHT-Asset-002,application_server,0.1324,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 29.0, ""contribution"": -0.757356, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 19.0, ""contribution"": -0.493007, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 20.0, ""contribution"": -0.478645, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.236964+00:00
LHT-Asset-003,siem_server,0.0168,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 100.0, ""contribution"": -0.4106, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 5.0, ""contribution"": -0.338849, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 44.0, ""contribution"": 0.315456, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 30.0, ""contribution"": -0.303554, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.237145+00:00
LHT-Asset-004,linux_server,0.0019,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 0.0, ""contribution"": -1.104122, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 27.0, ""contribution"": -0.834874, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 89.0, ""contribution"": -0.432941, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.237362+00:00
LHT-Asset-005,workstation,0.0028,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 96.0, ""contribution"": -0.549358, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 38.0, ""contribution"": -0.219183, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 6.0, ""contribution"": -0.185794, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.237541+00:00
LHT-Asset-006,windows_server,0.3698,Medium,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 5.0, ""contribution"": 1.679501, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 11.0, ""contribution"": 0.57948, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 72.0, ""contribution"": 0.431829, ""direction"": ""Increases predicted risk""}, {""feature"": ""network_risk_score"", ""feature_value"": 100.0, ""contribution"": -0.32916, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.237718+00:00
LHT-Asset-007,siem_server,0.9353,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 6.0, ""contribution"": 2.817424, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 63.0, ""contribution"": 0.560452, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 4.0, ""contribution"": -0.491903, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 68.0, ""contribution"": 0.361792, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.237892+00:00
LHT-Asset-008,application_server,0.0087,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 9.0, ""contribution"": -0.637125, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 93.0, ""contribution"": -0.499465, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 4.0, ""contribution"": -0.491903, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.238061+00:00
LHT-Asset-009,linux_server,0.9849,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 6.0, ""contribution"": 2.817424, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 12.0, ""contribution"": 0.732535, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 63.0, ""contribution"": 0.560452, ""direction"": ""Increases predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 39.0, ""contribution"": 0.398611, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.238228+00:00
LHT-Asset-010,workstation,0.9974,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 7.0, ""contribution"": 3.955346, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 65.0, ""contribution"": 0.63797, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 23.0, ""contribution"": -0.43536, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 100.0, ""contribution"": -0.410973, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.238401+00:00
